"","id","Condition","category"
"1","A6NGB9","ParentalAT26533","NC"
"2","O00221","ParentalAT26533","CN"
"3","O00221","ParentalTNFa","CN"
"4","O00418","ParentalAT26533","CN"
"5","O00422","ParentalAT26533","CC"
"6","O14950","ParentalAT26533","NC"
"7","O14979","ParentalAT26533","CC"
"8","O15042","ParentalAT26533","NC"
"9","O15078","ParentalAT26533","CN"
"10","O15446-2","ParentalAT26533","NC"
"11","O60313-2","ParentalAT26533","NC"
"12","O75113","ParentalAT26533","NC"
"13","O75340","ParentalAT26533","NC"
"14","O75446","ParentalAT26533","NC"
"15","O75822","ParentalAT26533","NC"
"16","O75843","ParentalAT26533","NC"
"17","O75915","ParentalAT26533","NC"
"18","O94888","ParentalAT26533","NC"
"19","O95197","ParentalAT26533","NC"
"20","O95782","ParentalAT26533","NC"
"21","O95831","ParentalAT26533","NC"
"22","O96017-9","ParentalAT26533","NC"
"23","P00367","ParentalAT26533","NC"
"24","P00367","ParentalTNFa","NC"
"25","P01033","ParentalAT26533","NC"
"26","P01033","ParentalTNFa","NC"
"27","P01584","ParentalAT26533","CN"
"28","P02545","ParentalAT26533","CC"
"29","P05362","ParentalAT26533","CC"
"30","P05362","ParentalTNFa","CC"
"31","P06748","ParentalAT26533","CN"
"32","P06748","ParentalTNFa","NC"
"33","P07305","ParentalAT26533","NC"
"34","P07910-2","ParentalAT26533","CN"
"35","P08621","ParentalAT26533","NC"
"36","P09874","ParentalAT26533","NC"
"37","P09884","ParentalAT26533","NC"
"38","P09960","ParentalAT26533","NC"
"39","P11309","ParentalAT26533","CN"
"40","P11309","ParentalTNFa","CN"
"41","P11908-2","ParentalAT26533","NC"
"42","P12532-2","ParentalAT26533","ND"
"43","P13010","ParentalAT26533","CN"
"44","P13667","ParentalAT26533","NC"
"45","P13807","ParentalAT26533","NC"
"46","P13994","ParentalAT26533","ND"
"47","P16402","ParentalAT26533","ND"
"48","P16930-2","ParentalAT26533","NC"
"49","P17096","ParentalAT26533","ND"
"50","P17275","ParentalAT26533","CC"
"51","P17275","ParentalTNFa","CC"
"52","P17535","ParentalTNFa","NC"
"53","P19838-2","ParentalAT26533","CN"
"54","P19838-2","ParentalTNFa","CN"
"55","P20226","ParentalAT26533","NC"
"56","P20700","ParentalAT26533","CC"
"57","P20700","ParentalTNFa","NC"
"58","P21127","ParentalAT26533","NC"
"59","P22626","ParentalAT26533","CN"
"60","P23284","ParentalAT26533","NC"
"61","P23528","ParentalAT26533","NC"
"62","P23919","ParentalAT26533","NC"
"63","P26599-3","ParentalAT26533","NC"
"64","P27824-2","ParentalAT26533","NC"
"65","P31431","ParentalTNFa","NC"
"66","P31942","ParentalAT26533","CN"
"67","P35221","ParentalAT26533","NC"
"68","P35236-3","ParentalAT26533","NC"
"69","P38159","ParentalAT26533","CC"
"70","P41214","ParentalAT26533","NC"
"71","P41214","ParentalTNFa","NC"
"72","P42166","ParentalAT26533","NC"
"73","P42356","ParentalAT26533","NC"
"74","P43243","ParentalAT26533","NC"
"75","P45983","ParentalAT26533","NC"
"76","P45983","ParentalTNFa","NC"
"77","P46087-4","ParentalAT26533","NC"
"78","P46108","ParentalAT26533","NC"
"79","P49916","ParentalAT26533","CN"
"80","P51572-2","ParentalAT26533","CN"
"81","P53990-5","ParentalAT26533","NC"
"82","P54760","ParentalAT26533","ND"
"83","P55263","ParentalAT26533","NC"
"84","P61254","ParentalAT26533","NC"
"85","P61923-4","ParentalAT26533","NC"
"86","P62330","ParentalAT26533","NC"
"87","P62851","ParentalAT26533","NC"
"88","P62995","ParentalAT26533","CN"
"89","P83881","ParentalAT26533","NC"
"90","P84103","ParentalAT26533","CN"
"91","Q00722","ParentalAT26533","NC"
"92","Q00839","ParentalAT26533","NC"
"93","Q00839-2","ParentalAT26533","NC"
"94","Q01432-4","ParentalAT26533","NC"
"95","Q03252","ParentalAT26533","CC"
"96","Q06210","ParentalAT26533","NC"
"97","Q06547","ParentalAT26533","NC"
"98","Q07955","ParentalAT26533","CN"
"99","Q08170","ParentalAT26533","CN"
"100","Q08945","ParentalAT26533","CN"
"101","Q12857-4","ParentalAT26533","NC"
"102","Q12894-2","ParentalAT26533","NC"
"103","Q13029","ParentalAT26533","NC"
"104","Q13185","ParentalAT26533","NC"
"105","Q13247","ParentalAT26533","CN"
"106","Q13459","ParentalAT26533","NC"
"107","Q13459","ParentalTNFa","NC"
"108","Q13490","ParentalAT26533","CN"
"109","Q13501","ParentalAT26533","NC"
"110","Q13561-2","ParentalAT26533","NC"
"111","Q13813","ParentalAT26533","NC"
"112","Q14318-2","ParentalAT26533","NC"
"113","Q14527","ParentalAT26533","CN"
"114","Q14558-2","ParentalAT26533","NC"
"115","Q14789-2","ParentalAT26533","NC"
"116","Q14980","ParentalAT26533","NC"
"117","Q15424-3","ParentalAT26533","CC"
"118","Q15526","ParentalAT26533","ND"
"119","Q15650","ParentalAT26533","NC"
"120","Q15653","ParentalAT26533","CN"
"121","Q15653","ParentalTNFa","CC"
"122","Q16629","ParentalAT26533","CN"
"123","Q16644","ParentalAT26533","NC"
"124","Q16644","ParentalTNFa","NC"
"125","Q16851","ParentalAT26533","NC"
"126","Q1KMD3","ParentalAT26533","CN"
"127","Q2NL82","ParentalAT26533","NC"
"128","Q2TAL8","ParentalAT26533","NC"
"129","Q32P44-2","ParentalAT26533","NC"
"130","Q49AR2","ParentalAT26533","NC"
"131","Q52LJ0-2","ParentalAT26533","NC"
"132","Q567U6","ParentalAT26533","NC"
"133","Q6NW29","ParentalAT26533","NC"
"134","Q6UB35","ParentalAT26533","NC"
"135","Q6UX27","ParentalAT26533","ND"
"136","Q7L8L6","ParentalAT26533","NC"
"137","Q7Z6I6","ParentalAT26533","NC"
"138","Q86VP1","ParentalAT26533","CC"
"139","Q8IXJ6","ParentalAT26533","NC"
"140","Q8N3P4","ParentalAT26533","NC"
"141","Q8N5G2","ParentalAT26533","NC"
"142","Q8N9T8","ParentalAT26533","NC"
"143","Q8NBJ7","ParentalAT26533","NC"
"144","Q8TA86","ParentalAT26533","NC"
"145","Q8WVT3","ParentalAT26533","NC"
"146","Q8WXE9-3","ParentalAT26533","NC"
"147","Q92508","ParentalAT26533","ND"
"148","Q92581-2","ParentalAT26533","NC"
"149","Q92620","ParentalAT26533","NC"
"150","Q92843-2","ParentalAT26533","ND"
"151","Q969G6","ParentalAT26533","NC"
"152","Q96A57-2","ParentalAT26533","NC"
"153","Q96BR5","ParentalAT26533","NC"
"154","Q96C01","ParentalAT26533","NC"
"155","Q96C19","ParentalAT26533","NC"
"156","Q96DB5","ParentalAT26533","NC"
"157","Q96G28-2","ParentalAT26533","NC"
"158","Q96HA4","ParentalAT26533","ND"
"159","Q96II8-2","ParentalAT26533","NC"
"160","Q96J02","ParentalAT26533","NC"
"161","Q96MU7","ParentalAT26533","CC"
"162","Q99442","ParentalAT26533","ND"
"163","Q99638","ParentalAT26533","NC"
"164","Q9BRA2","ParentalAT26533","NC"
"165","Q9BTL4","ParentalAT26533","CN"
"166","Q9BTL4","ParentalTNFa","CN"
"167","Q9BW66-3","ParentalAT26533","NC"
"168","Q9BWU0","ParentalAT26533","NC"
"169","Q9C0C6","ParentalAT26533","CN"
"170","Q9H1B7","ParentalAT26533","NC"
"171","Q9H1E3","ParentalAT26533","NC"
"172","Q9H3P7","ParentalAT26533","NC"
"173","Q9H410","ParentalAT26533","NC"
"174","Q9H446","ParentalAT26533","NC"
"175","Q9H467","ParentalAT26533","NC"
"176","Q9H501","ParentalAT26533","NC"
"177","Q9H6Q4","ParentalAT26533","NC"
"178","Q9H6S0","ParentalAT26533","NC"
"179","Q9H6T3","ParentalAT26533","NC"
"180","Q9H7Z7","ParentalAT26533","NC"
"181","Q9H8Y8-3","ParentalAT26533","NC"
"182","Q9HBM1","ParentalAT26533","NC"
"183","Q9NP66","ParentalAT26533","NC"
"184","Q9NQC3","ParentalAT26533","NC"
"185","Q9NQC7","ParentalAT26533","ND"
"186","Q9NQC7","ParentalTNFa","ND"
"187","Q9NR30","ParentalAT26533","NC"
"188","Q9NSI8","ParentalAT26533","NC"
"189","Q9NU22","ParentalAT26533","NC"
"190","Q9NUW8","ParentalAT26533","NC"
"191","Q9NVI7-2","ParentalAT26533","NC"
"192","Q9NWB6","ParentalAT26533","NC"
"193","Q9NX46","ParentalAT26533","NC"
"194","Q9NXW2-2","ParentalAT26533","NC"
"195","Q9NYU2","ParentalAT26533","NC"
"196","Q9NZN5","ParentalAT26533","NC"
"197","Q9UBC2-2","ParentalAT26533","NC"
"198","Q9UBV8","ParentalAT26533","NC"
"199","Q9UHC7","ParentalAT26533","NC"
"200","Q9UJ41","ParentalAT26533","NC"
"201","Q9UJ41","ParentalTNFa","NC"
"202","Q9UJA5","ParentalAT26533","NC"
"203","Q9UKI8","ParentalAT26533","NC"
"204","Q9UKM9","ParentalAT26533","CN"
"205","Q9UNM6","ParentalAT26533","NC"
"206","Q9UQR1","ParentalAT26533","NC"
"207","Q9Y224","ParentalAT26533","NC"
"208","Q9Y2B0","ParentalAT26533","NC"
"209","Q9Y2I7","ParentalAT26533","NC"
"210","Q9Y2T3-3","ParentalAT26533","ND"
"211","Q9Y547","ParentalAT26533","NC"
"212","Q9Y580","ParentalAT26533","CN"
"213","Q9Y5V3-2","ParentalAT26533","NC"
"214","Q9Y657","ParentalAT26533","NC"
"215","Q9Y6I9","ParentalAT26533","NC"
